order_id,customer_id,order_date,ship_date,store,category,quantity,unit_price,discount,tax,order_total,payment_method,promo_code,email
ORD-10015,C1794,"Nov 11, 2024","Sep 08, 2024",Northridge,Home,5,$11.60,,N/A,$62.52,ACH,HOLIDAY20,user294@csun.edu
ORD-10016,C1347,11/28/24,10/30/24,Pasadena,Apparel,4,24.31,,,96.78,Cash,BOGO, 
ORD-10017,C1334,2024-08-13,08/14/24,Northridge,Home,5,$20.09,0.05,, 103.96 ,Card,CLEARANCE,not_an_email
ORD-10018,C1557,"Nov 21, 2024",08/22/2024,Online,Apparel,3,23.55,0,,$71,ACH,BOGO,
ORD-10019,C1396,2024-10-22,10/25/2024,Online,Apparel,3,30.23,,$8,$94.30,ACH,WELCOME10,not_an_email
ORD-10020,C1767,2024-09-13,12/01/2024,Pasadena,Grocery,1, 8.19 ,NA,,$9,ACH,CLEARANCE,
ORD-10021,C1365,09/01/24,11/06/24,Burbank,Home,2,55.39,,,114.62,Card,WELCOME10,user449@csun.edu
ORD-10022,C1589,2024/08/16,2024/10/02,Northridge,Electronics,2,$15,,,30.79 USD,GiftCard,WELCOME10,not_an_email
ORD-10023,C1577,2024/09/25,2024-11-24,Burbank,Grocery,2,36.28 USD,NA,,$76,ACH,BOGO, 
ORD-10024,C1394,08/17/2024,2024/10/19,Online,Apparel,4,$36.19, 0.1 ,$13, 145.58 ,ACH,BOGO,user649@csun.edu
ORD-10025,C1502,2024-08-22,10/07/24,Burbank,Beauty,1, 35.23 ,,N/A,34.89,Cash,NONE,
ORD-10026,C1528,"Nov 04, 2024",08/24/2024,Pasadena,Grocery,1,$58.34,NA,5.54,$64,Card,HOLIDAY20,user300@gmail.com
ORD-10027,C1791,2024/09/05,2024-08-05,Pasadena,Grocery,3, 7.22 ,0,,20.76 USD,GiftCard,BOGO,
ORD-10028,C1334,2024-09-03,"Oct 06, 2024",Online,Home,3, 37.64 ,,,106.51 USD,ACH,NONE, 
ORD-10029,C1352,2024/11/05,09/06/24,Northridge,Home,5,$14,0.00,N/A,$77.68,GiftCard,WELCOME10,not_an_email
ORD-10030,C1436,09/13/2024,11/20/2024,Burbank,Apparel,3,$21, 0.1 ,,$64,Cash,BOGO,
ORD-10031,C1434,2024/10/19,"Oct 31, 2024",Burbank,Beauty,1,13.36, 0.1 ,$1,14.63,GiftCard,HOLIDAY20, 
ORD-10032,C1195,"Sep 08, 2024","Aug 16, 2024",Pasadena,Electronics,4,$64,0.09,N/A,$254.63,Card,CLEARANCE,
ORD-10033,C1780,10/05/2024,09/20/2024,Pasadena,Apparel,2,$14.63,3%,,31.10 USD,Cash,WELCOME10,
ORD-10034,C1368,10/16/24,2024-09-09,Online,Beauty,5,15.75 USD, 0.1 ,$6.39,73.70,Cash,WELCOME10,
ORD-10035,C1724,10/03/24,08/08/24,Burbank,Grocery,2,$20.21,0.11,N/A,39.34,Cash,CLEARANCE,
ORD-10036,C1775,11/10/2024,"Nov 29, 2024",Online,Home,5, 35.11 ,19%,N/A,$156,ACH,NONE,
ORD-10037,C1092,09/10/2024,10/29/2024,Pasadena,Beauty,3,55.51, 0.1 ,14.31,$164.96,Card,HOLIDAY20,user373@csun.edu
ORD-10038,C1709,"Aug 01, 2024","Dec 05, 2024",Burbank,Apparel,1, 59.64 ,0,$5, 59.25 ,GiftCard,BOGO, 
ORD-10039,C1025,"Oct 29, 2024",2024-08-26,Pasadena,Electronics,1,$63, 0.1 ,$6,64.36 USD,GiftCard,BOGO, 
ORD-10040,C1575,"Nov 28, 2024",11/14/24,Northridge,Electronics,5,$57,0.02,$27, 308.25 ,Card,HOLIDAY20,user320@gmail.com
ORD-10041,C1399,2024/08/21,09/01/2024,Burbank,Grocery,3,$29,,N/A,85.56 USD,Card,NONE,
ORD-10042,C1014,2024/11/20,11/03/24,Online,Electronics,4,3.00,,$1,$12,GiftCard,CLEARANCE,user765@gmail.com
ORD-10043,C1333,2024-08-11,11/09/24,Online,Beauty,1, 25.99 ,14%,, 24.35 ,Cash,HOLIDAY20,not_an_email
ORD-10044,C1347,"Nov 25, 2024","Sep 11, 2024",Online,Home,1,$41,5%,3.70,42.61 USD,Cash,WELCOME10,user132@gmail.com
ORD-10045,C1406,"Nov 24, 2024",2024/12/03,Burbank,Apparel,4, 56.07 ,,N/A,228.61,ACH,HOLIDAY20,
ORD-10046,C1477,10/26/2024,2024/08/20,Northridge,Electronics,3,$35,0%,N/A,115.09 USD,Cash,NONE,
ORD-10047,C1005,2024/10/28,"Nov 17, 2024",Pasadena,Apparel,5,$65.78,,,$353,Cash,NONE, 
ORD-10048,C1507,2024-09-04,"Nov 21, 2024",Burbank,Electronics,4, 37.68 ,,$11.96, 137.91 ,ACH,CLEARANCE,user796@csun.edu
ORD-10049,C1370,"Nov 20, 2024",11/26/2024,Northridge,Apparel,2,$29,0.01,N/A,63.31,Card,BOGO,not_an_email
ORD-10050,C1231,2024/11/24,11/26/2024,Burbank,Grocery,3,$16,,,49.36,GiftCard,WELCOME10,
ORD-10051,C1424,2024/11/09,11/19/24,Burbank,Home,2, 8.83 ,0%,1.67,19.27,GiftCard,HOLIDAY20,
ORD-10052,C1705,2024/08/24,2024-11-20,Northridge,Apparel,1,$25.37,10%,,$25,Card,CLEARANCE,user310@csun.edu
ORD-10053,C1738,08/19/24,09/09/2024,Online,Electronics,1,45.99,,N/A,$45,Card,WELCOME10,user154@csun.edu
ORD-10054,C1364,2024-08-24,08/25/24,Burbank,Home,1, 27.71 ,0.06,,28.48 USD,Card,CLEARANCE,
ORD-10055,C1343,2024/11/08,2024-09-13,Burbank,Electronics,3,50.23 USD,,,150.01 USD,Card,BOGO,not_an_email
ORD-10056,C1588,2024-09-29,08/26/24,Burbank,Home,5,$19.01,0.10,, 93.46 ,ACH,NONE,
ORD-10057,C1182,2024-09-03,08/08/2024,Pasadena,Beauty,2,60.32,,,$118,Cash,NONE,not_an_email
ORD-10058,C1740,2024-08-13,08/08/24,Northridge,Grocery,3,$11.98,0, 2.86 ,32.92,Cash,WELCOME10,not_an_email
ORD-10059,C1551,08/29/2024,"Dec 11, 2024",Online,Apparel,1, 48.69 ,0,,47.36,Card,WELCOME10, 
ORD-10060,C1463,10/28/24,"Aug 20, 2024",Northridge,Apparel,4,$33,6%,,135.70,GiftCard,HOLIDAY20,not_an_email
ORD-10061,C1258,2024-11-03,2024/09/22,Northridge,Home,3,$58.49,NA,,$192,Card,HOLIDAY20,user639@csun.edu
ORD-10062,C1199,2024/08/20,2024/09/26,Online,Home,2,$25,0.00,,$55,ACH,CLEARANCE,not_an_email
ORD-10063,C1270,09/22/24,"Sep 21, 2024",Online,Beauty,2,$47.55,,N/A,98.20 USD,Cash,BOGO,user183@gmail.com
ORD-10064,C1188,2024-11-11,10/05/24,Northridge,Grocery,2,$55,,N/A,106.67,ACH,NONE,
ORD-10065,C1368,2024-08-25,"Nov 17, 2024",Pasadena,Beauty,3,63.39 USD,,,185.18 USD,Card,BOGO,user532@csun.edu
ORD-10066,C1613,"Aug 05, 2024",08/29/24,Pasadena,Electronics,4,19.45 USD,0,,$72.46,Card,WELCOME10, 
ORD-10067,C1402,2024/10/16,2024-08-14,Burbank,Home,5,$33,0,13.24 USD,152.63 USD,GiftCard,HOLIDAY20,user621@gmail.com
ORD-10068,C1464,2024-11-24,12/08/24,Northridge,Apparel,1,$3.70,0,,$4,Cash,BOGO,user800@csun.edu
ORD-10069,C1325,2024-11-20,12/06/24,Burbank,Beauty,3,$43.48,NA,,138.38 USD,Cash,CLEARANCE,not_an_email
ORD-10070,C1577,2024-08-16,2024/10/16,Northridge,Grocery,3,$19.92,0.10,N/A, 58.77 ,Cash,NONE,
ORD-10071,C1380,11/19/2024,2024-11-17,Pasadena,Grocery,3,$37,,N/A,112.65,Cash,HOLIDAY20,
ORD-10072,C1188,11/03/2024,"Aug 17, 2024",Pasadena,Home,3,21.36,,,$61.65,ACH,HOLIDAY20,
ORD-10073,C1390,08/25/2024,10/30/24,Northridge,Grocery,4,$47,NA,17.23,$199,Card,CLEARANCE,user730@gmail.com
ORD-10074,C1590,2024-11-04,"Sep 19, 2024",Burbank,Grocery,5,36.22 USD,,,$178.68,ACH,WELCOME10,user532@gmail.com
ORD-10075,C1250,10/06/24,"Sep 29, 2024",Online,Grocery,1,38.90 USD,15%,,36.21,ACH,WELCOME10,user383@csun.edu
ORD-10076,C1102,2024-09-13,"Nov 14, 2024",Burbank,Beauty,4,18.62 USD,NA,,$79.71,Cash,CLEARANCE, 
ORD-10077,C1111,"Nov 10, 2024",2024-12-07,Northridge,Electronics,2,$55.92,0.14,, 105.33 ,GiftCard,HOLIDAY20,
ORD-10078,C1216,2024/09/27,10/19/24,Pasadena,Electronics,5,$28.31,,N/A,154.98 USD,Cash,BOGO,
ORD-10079,C1435,09/21/24,09/10/2024,Burbank,Apparel,1,55.57 USD, 0.1 , 5.28 ,$61,Cash,CLEARANCE, 
ORD-10080,C1252,10/28/2024,2024-11-14,Pasadena,Apparel,3,$40,12%,, 115.82 ,ACH,BOGO,not_an_email
ORD-10081,C1312,11/02/24,2024-11-22,Pasadena,Apparel,5,32.98,5%,N/A,$172,ACH,NONE,
ORD-10082,C1532,2024-10-14,2024-08-14,Pasadena,Home,5,20.08 USD,NA,N/A,$100.07,Cash,HOLIDAY20,
ORD-10083,C1690,2024/11/11,11/14/2024,Online,Grocery,1,$19.32,7%,N/A, 19.72 ,Card,NONE, 
ORD-10084,C1011,08/01/2024,08/02/2024,Burbank,Beauty,5, 41.38 ,0,$18.45,212.65,ACH,NONE,
ORD-10085,C1655,"Sep 04, 2024","Nov 23, 2024",Northridge,Beauty,4,$9,0%,,37.95,ACH,NONE,not_an_email
ORD-10086,C1535,2024/11/10,2024-11-03,Pasadena,Electronics,5, 26.87 ,9%,, 133.32 ,GiftCard,HOLIDAY20,user837@csun.edu
ORD-10087,C1357,2024-10-05,10/25/2024,Burbank,Electronics,1,18.15 USD,0.17,,16.40,Card,BOGO, 
ORD-10088,C1359,2024/08/02,"Sep 07, 2024",Pasadena,Electronics,1,$5,0.02, 0.50 ,$6,GiftCard,WELCOME10, 
ORD-10089,C1418,2024/08/09,10/23/24,Online,Apparel,5,7.12 USD,NA,, 34.80 ,GiftCard,HOLIDAY20, 
ORD-10090,C1175,2024/09/14,08/14/24,Burbank,Beauty,5,3.00 USD, 0.1 ,$1,14.04 USD,Cash,HOLIDAY20,
ORD-10091,C1301,2024-08-31,2024-10-26,Northridge,Electronics,5,$20, 0.1 ,,$99,GiftCard,HOLIDAY20,
ORD-10092,C1357,2024-09-20,"Oct 18, 2024",Burbank,Electronics,1,$55.77,6%,,57.65 USD,Cash,CLEARANCE,
ORD-10093,C1205,"Sep 25, 2024",10/09/24,Northridge,Beauty,4,52.06 USD, 0.1 ,, 203.67 ,Cash,BOGO, 
ORD-10094,C1730,2024/11/22,"Sep 08, 2024",Northridge,Apparel,3,69.39,0,,$209,Cash,CLEARANCE, 
ORD-10095,C1491,11/25/24,09/26/2024,Online,Home,3,38.00 USD,0.08, 9.98 ,115.06 USD,ACH,CLEARANCE,
ORD-10096,C1672,11/19/24,08/06/2024,Online,Apparel,2,3.00,,$1, 6.56 ,Card,NONE,not_an_email
ORD-10097,C1381,2024-09-12,2024-10-16,Northridge,Electronics,3,$51.91,1%,N/A,168.36 USD,GiftCard,WELCOME10,user701@csun.edu
ORD-10098,C1437,2024-08-30,2024/11/15,Online,Electronics,4, 35.34 ,NA,,$136,ACH,WELCOME10,
ORD-10099,C1157,2024-11-24,2024-10-09,Burbank,Beauty,3,32.11,,N/A,$77.87,Cash,WELCOME10,
ORD-10100,C1446,10/28/2024,10/10/24,Online,Beauty,5,$42.45,,,$215,Cash,NONE,user799@csun.edu
ORD-10101,C1196,2024/11/13,11/22/24,Online,Grocery,2,$16.67,0.13,,31.89,ACH,WELCOME10,
ORD-10102,C1062,"Oct 27, 2024",09/13/24,Burbank,Grocery,2,40.17,0,N/A, 82.84 ,Card,BOGO,user67@gmail.com
ORD-10103,C1722,2024-09-19,09/20/24,Northridge,Electronics,1,$3, 0.1 , 0.29 ,3.29,GiftCard,BOGO,user708@gmail.com
ORD-10104,C1191,2024-09-30,12/08/24,Online,Electronics,4,4.95 USD, 0.1 ,,$22,Card,BOGO,not_an_email
ORD-10105,C1359,2024-08-18,2024-11-04,Pasadena,Home,4,21.93 USD,NA,$7,$85,GiftCard,CLEARANCE,user388@csun.edu
ORD-10106,C1740,"Oct 30, 2024",2024/10/11,Online,Electronics,4, 30.45 ,0.14,,115.32,GiftCard,CLEARANCE,user164@csun.edu
ORD-10107,C1569,2024/11/23,10/15/2024,Burbank,Beauty,1, 48.16 ,0,,$43,GiftCard,HOLIDAY20,user201@gmail.com
ORD-10108,C1641,"Nov 10, 2024",2024-09-23,Online,Apparel,5,$28.56,0.18,N/A,128.47,Card,HOLIDAY20,not_an_email
ORD-10109,C1668,"Nov 19, 2024","Aug 22, 2024",Burbank,Electronics,4,$36.65,,,130.10,Cash,CLEARANCE,user306@gmail.com
ORD-10110,C1195,2024-08-24,2024-09-10,Burbank,Electronics,5, 40.14 ,0,,$219.78,Card,BOGO,user194@gmail.com
ORD-10111,C1796,"Sep 02, 2024",2024/09/03,Online,Electronics,3,$3.00,0.02, 0.83 ,$10,ACH,WELCOME10,user842@csun.edu
ORD-10112,C1683,2024/11/04,2024/11/12,Burbank,Grocery,4,28.77, 0.1 ,N/A,$118.18,Card,HOLIDAY20,
ORD-10113,C1579,2024-11-20,11/23/24,Online,Grocery,2, 44.72 ,0.13,,$86,Card,BOGO,not_an_email
ORD-10114,C1425,09/21/2024,"Dec 01, 2024",Pasadena,Home,4, 68.63 , 0.1 ,,278.39,GiftCard,CLEARANCE, 
ORD-10115,C1096,"Aug 03, 2024",2024-09-24,Burbank,Grocery,5, 9.60 ,,,$51.62,Card,NONE,
ORD-10116,C1503,"Sep 07, 2024",2024-08-27,Online,Grocery,4, 18.22 , 0.1 ,$6,$68.39,GiftCard,WELCOME10,user25@csun.edu
ORD-10117,C1486,"Aug 18, 2024",2024/10/21,Online,Electronics,5,41.87 USD,9%,,207.89,Cash,NONE, 
ORD-10118,C1332,"Oct 25, 2024",12/11/24,Pasadena,Apparel,2,15.81,NA,N/A, 31.38 ,GiftCard,BOGO, 
ORD-10119,C1703,10/01/2024,11/06/2024,Pasadena,Apparel,3, 27.45 ,0,N/A,$80.68,GiftCard,WELCOME10,user962@csun.edu
ORD-10120,C1498,2024-09-30,2024-11-08,Pasadena,Grocery,4,12.70 USD,0.13,N/A,$48,Cash,CLEARANCE, 
ORD-10121,C1519,08/13/24,12/11/2024,Online,Electronics,3, 36.24 ,NA,$8, 96.09 ,GiftCard,HOLIDAY20,not_an_email
ORD-10122,C1657,2024-09-30,11/14/24,Burbank,Apparel,4,3.00 USD,0%,,$13,GiftCard,WELCOME10, 
ORD-10123,C1700,2024/08/30,"Sep 26, 2024",Burbank,Home,5,$36.35,,,$199,GiftCard,BOGO,user793@csun.edu
ORD-10124,C1519,2024/09/01,12/03/2024,Pasadena,Apparel,1,20.70 USD, 0.1 ,, 21.87 ,Cash,HOLIDAY20,user444@gmail.com
ORD-10125,C1190,2024/09/14,2024-08-16,Burbank,Grocery,1,3.00 USD, 0.1 ,,2.90 USD,Cash,HOLIDAY20,user930@gmail.com
ORD-10126,C1610,2024/10/28,11/09/2024,Online,Home,4,40.03,,,$171.22,Card,WELCOME10,user393@gmail.com
ORD-10127,C1305,"Aug 29, 2024",2024-11-24,Burbank,Beauty,1,$21,,, 18.77 ,Cash,WELCOME10,not_an_email
ORD-10128,C1761,2024-10-31,"Sep 24, 2024",Pasadena,Home,3,$20.85,,,60.74 USD,ACH,WELCOME10,
ORD-10129,C1488,2024-10-02,2024-09-17,Northridge,Home,4,13.27,0,,$58,Cash,CLEARANCE,
ORD-10130,C1722,"Aug 14, 2024",2024-09-07,Northridge,Apparel,2,3.00,0,0.54 USD,$6.19,Card,HOLIDAY20,not_an_email
ORD-10131,C1693,09/23/24,11/06/2024,Online,Home,1,$42.43,0.12,$3.56,$41,Cash,WELCOME10,user425@gmail.com
ORD-10132,C1426,10/04/2024,"Aug 20, 2024",Northridge,Electronics,5,$35.10,0,,181.31 USD,GiftCard,WELCOME10,not_an_email
ORD-10133,C1149,08/08/24,09/23/2024,Pasadena,Home,5, 9.13 ,,,$50,Cash,NONE,user914@csun.edu
ORD-10134,C1175,2024-08-10,2024/08/11,Burbank,Beauty,3,28.86,,6.61, 76.16 ,GiftCard,WELCOME10,
ORD-10135,C1443,2024/11/14,09/17/24,Online,Home,1,$16.36,9%,$1.41,16.26,Card,HOLIDAY20, 
ORD-10136,C1709,2024/11/26,"Sep 09, 2024",Northridge,Beauty,5,31.68 USD,NA,,170.55,Card,BOGO,
ORD-10137,C1309,09/06/2024,10/11/24,Burbank,Electronics,2,$3.00, 0.1 ,0.51,$6,Cash,HOLIDAY20,
ORD-10138,C1172,11/11/2024,2024-09-03,Northridge,Grocery,3,$36.90,3%,$10,117.58 USD,GiftCard,WELCOME10, 
ORD-10139,C1141,2024/08/31,2024/11/16,Pasadena,Grocery,1, 74.89 , 0.1 ,N/A, 73.03 ,GiftCard,NONE,
ORD-10140,C1507,10/10/2024,10/31/2024,Northridge,Electronics,3,43.25 USD, 0.1 ,10.26,$118,Cash,WELCOME10, 
ORD-10141,C1537,2024-08-21,"Oct 16, 2024",Online,Electronics,5,24.16,,, 126.14 ,Cash,HOLIDAY20,
ORD-10142,C1341,11/21/24,09/29/2024,Northridge,Apparel,4,$24,,N/A,$95.79,ACH,WELCOME10,not_an_email
ORD-10143,C1750,08/07/24,2024-09-03,Online,Beauty,5,17.12 USD,3%,, 91.36 ,Cash,NONE,
ORD-10144,C1787,2024-08-06,2024/08/08,Burbank,Apparel,3,$28.38,,$7,78.51 USD,ACH,CLEARANCE, 
ORD-10145,C1508,2024-09-23,08/29/2024,Northridge,Apparel,2,$51,,N/A,$110.14,Cash,HOLIDAY20,user976@gmail.com
ORD-10146,C1392,09/04/24,2024/08/17,Online,Electronics,2, 43.65 ,, 7.64 , 88.05 ,GiftCard,CLEARANCE,user414@gmail.com
ORD-10147,C1130,08/04/24,2024-09-15,Pasadena,Beauty,1, 28.21 , 0.1 ,,$30.89,GiftCard,WELCOME10,user431@csun.edu
ORD-10148,C1440,"Aug 28, 2024",09/14/24,Pasadena,Beauty,4,13.60 USD,0,,55.20 USD,Card,WELCOME10,not_an_email
ORD-10149,C1731,"Oct 29, 2024",09/15/2024,Northridge,Electronics,3,$15,NA,,$41.34,Cash,HOLIDAY20,user247@gmail.com
ORD-10150,C1386,2024/08/23,"Aug 22, 2024",Burbank,Beauty,1,$12,NA,,$11.53,ACH,WELCOME10,not_an_email
ORD-10151,C1255,"Nov 20, 2024","Aug 27, 2024",Northridge,Beauty,1, 37.01 , 0.1 ,N/A,$36.83,Card,HOLIDAY20, 
ORD-10152,C1122,2024/08/11,2024/10/17,Northridge,Electronics,1,$3,,,$3,Cash,NONE,
ORD-10153,C1549,10/03/24,10/23/24,Burbank,Beauty,5,$33.78,0,13.72 USD,158.11 USD,Cash,BOGO,
ORD-10154,C1717,08/30/2024,2024-12-03,Pasadena,Grocery,4,15.92 USD,,N/A,$64,GiftCard,CLEARANCE,not_an_email
ORD-10155,C1774,2024/10/28,2024/11/18,Online,Grocery,4,$64.13,16%,$20.48,$236,GiftCard,WELCOME10,
ORD-10156,C1438,10/01/24,2024/09/26,Online,Home,4,39.97 USD, 0.1 ,N/A,$145.73,Cash,CLEARANCE,not_an_email
ORD-10157,C1658,09/16/24,08/04/24,Northridge,Grocery,1,$38,NA,,41.76 USD,GiftCard,CLEARANCE,user166@csun.edu
ORD-10158,C1527,11/08/2024,09/13/2024,Burbank,Home,4,$62,20%,N/A,217.92 USD,ACH,BOGO,user889@csun.edu
ORD-10159,C1118,2024-10-20,11/02/24,Pasadena,Grocery,3,32.22 USD,,, 95.86 ,ACH,WELCOME10,not_an_email
ORD-10160,C1635,2024/11/19,08/04/2024,Burbank,Beauty,3,$8.55,, 2.25 ,25.95 USD,Cash,NONE,not_an_email
ORD-10161,C1462,2024/08/11,11/27/24,Pasadena,Beauty,3,$32.21,,,$95.49,Cash,NONE,
ORD-10162,C1132,2024-09-23,2024/10/20,Burbank,Electronics,4,29.28,,N/A,$125,Card,NONE,user132@gmail.com
ORD-10163,C1274,2024/08/07,10/20/24,Pasadena,Apparel,4,$3.00,,, 12.20 ,GiftCard,WELCOME10,not_an_email
ORD-10164,C1677,2024/08/23,2024/10/15,Burbank,Beauty,5, 32.70 , 0.1 ,,175.30 USD,Card,CLEARANCE, 
ORD-10165,C1601,2024-09-02,11/11/2024,Burbank,Beauty,4,$55.17,NA,,$204,Cash,HOLIDAY20,user717@gmail.com
ORD-10166,C1119,2024/08/05,"Nov 16, 2024",Pasadena,Beauty,3,35.91, 0.1 ,N/A,$110,ACH,NONE,
ORD-10167,C1342,2024-10-18,"Sep 23, 2024",Online,Grocery,3, 20.69 ,NA,N/A,61.06,Card,CLEARANCE, 
ORD-10168,C1375,2024-10-21,"Aug 28, 2024",Online,Apparel,1,$11.49,0,N/A,$12,GiftCard,CLEARANCE,not_an_email
ORD-10169,C1786,11/14/24,11/08/2024,Online,Electronics,5,11.08 USD, 0.1 ,5.26 USD,60.68,ACH,HOLIDAY20,not_an_email
ORD-10170,C1516,10/18/24,"Nov 07, 2024",Burbank,Home,2,$29.88,,N/A,54.65,Card,CLEARANCE,user533@gmail.com
ORD-10171,C1759,"Oct 23, 2024","Nov 25, 2024",Online,Apparel,3, 11.70 ,,,$36,Card,WELCOME10,
ORD-10172,C1402,09/24/2024,"Aug 05, 2024",Online,Electronics,1,$57.69, 0.1 ,4.34,50.00 USD,Cash,CLEARANCE,
ORD-10173,C1790,"Oct 15, 2024","Sep 23, 2024",Northridge,Apparel,2,$64, 0.1 ,,128.98 USD,GiftCard,NONE, 
ORD-10174,C1278,2024-08-02,"Oct 21, 2024",Pasadena,Apparel,4,47.32, 0.1 ,,$201,GiftCard,HOLIDAY20,not_an_email
ORD-10175,C1403,09/13/24,2024/09/23,Pasadena,Apparel,3,$48.35,8%,12.65 USD,$146,Cash,CLEARANCE,
ORD-10176,C1265,2024-08-03,"Dec 07, 2024",Pasadena,Grocery,1, 39.65 ,,,43.42,Cash,NONE,user726@gmail.com
ORD-10177,C1158,2024-09-11,2024-09-08,Northridge,Apparel,1,30.95 USD,0.09,$3,30.98 USD,ACH,NONE,not_an_email
ORD-10178,C1780,09/24/2024,"Sep 05, 2024",Northridge,Home,1,$25,,N/A,25.96 USD,ACH,HOLIDAY20,
ORD-10179,C1006,2024-10-20,2024-10-07,Online,Home,3,45.04,,$12,135.46,GiftCard,BOGO,
ORD-10180,C1187,09/06/2024,11/27/24,Northridge,Grocery,2, 28.02 ,0,N/A,$57,Cash,WELCOME10,
ORD-10181,C1084,2024/10/10,08/11/2024,Pasadena,Apparel,5,$12.00,0.00,$5.70,65.70 USD,GiftCard,NONE, 
ORD-10182,C1753,2024/11/06,11/23/24,Burbank,Grocery,2,$24.24,0,$4.60,$53.08,Card,BOGO,not_an_email
ORD-10183,C1322,"Sep 24, 2024",2024/08/23,Pasadena,Electronics,3,$25,,N/A,$74,ACH,HOLIDAY20,user107@gmail.com
ORD-10184,C1299,"Nov 10, 2024",2024/09/20,Northridge,Grocery,3, 16.48 ,,N/A,47.99 USD,GiftCard,CLEARANCE,
ORD-10185,C1088,10/12/24,"Dec 06, 2024",Northridge,Apparel,4,$29.35,0, 9.02 ,103.96 USD,ACH,CLEARANCE,user121@csun.edu
ORD-10186,C1186,"Aug 22, 2024",11/23/24,Northridge,Home,5,9.01,,,45.16,Cash,BOGO, 
ORD-10187,C1520,11/14/24,2024/11/05,Pasadena,Apparel,3,42.00 USD, 0.1 ,,132.94,ACH,CLEARANCE,
ORD-10188,C1459,10/26/2024,09/04/24,Pasadena,Electronics,5,$15,0,N/A,$71,GiftCard,CLEARANCE, 
ORD-10189,C1236,2024-08-01,2024/11/14,Northridge,Beauty,1,$16.39,9%,N/A,16.37,Card,NONE,not_an_email
ORD-10190,C1225,2024/11/08,"Sep 29, 2024",Pasadena,Beauty,3,28.95 USD, 0.1 ,,84.72 USD,Cash,HOLIDAY20,user132@csun.edu
ORD-10191,C1287,11/09/24,"Dec 07, 2024",Burbank,Home,1,$40,16%,N/A, 36.79 ,Card,WELCOME10,not_an_email
ORD-10192,C1298,11/13/24,08/06/2024,Burbank,Beauty,3,$11.28,,,$34,GiftCard,NONE,user119@csun.edu
ORD-10193,C1125,2024-08-09,2024-10-03,Pasadena,Beauty,5,$48,NA,,232.53 USD,Card,BOGO, 
ORD-10194,C1422,"Aug 18, 2024",11/19/2024,Online,Home,3,38.05 USD, 0.1 ,, 124.98 ,GiftCard,WELCOME10,user741@csun.edu
ORD-10195,C1296,10/21/24,09/16/24,Northridge,Home,3,40.13, 0.1 ,, 116.88 ,ACH,HOLIDAY20,
ORD-10196,C1745,2024-08-07,2024-11-10,Online,Home,2,23.29 USD,,,$38.91,Cash,CLEARANCE,not_an_email
ORD-10197,C1661,09/04/24,10/26/24,Pasadena,Electronics,2,34.36 USD,1%,,74.50 USD,ACH,BOGO,not_an_email
ORD-10198,C1442,"Sep 17, 2024",2024-10-02,Online,Beauty,5,$27,,,$146,GiftCard,WELCOME10,
ORD-10199,C1347,08/19/24,12/03/24,Pasadena,Electronics,1,30.09 USD, 0.1 ,N/A,$29.80,Card,HOLIDAY20,user319@csun.edu
ORD-10200,C1331,10/18/24,2024-10-21,Burbank,Home,4,51.88,NA,$19,215.63 USD,Cash,CLEARANCE,user472@csun.edu
